,ID,State,AvgF,AvgC,Rank
0,1,Alabama,62.8,17.1,7
1,2,Alaska,26.6,-3.0,50
2,3,Arizona,60.3,15.7,10
3,4,Arkansas,60.4,15.8,9
4,5,California,59.4,15.2,12
5,6,Colorado,45.1,7.3,39
6,7,Connecticut,49.0,9.4,29
7,8,Delaware,55.3,12.9,16
8,9,Florida,70.7,21.5,1
9,10,Georgia,63.5,17.5,5
10,11,Hawaii,70.0,21.1,2
11,12,Idaho,44.4,6.9,40
12,13,Illinois,51.8,11.0,23
13,14,Indiana,51.7,10.9,25
14,15,Iowa,47.8,8.8,36
15,16,Kansas,54.3,12.4,19
16,17,Kentucky,55.6,13.1,15
17,18,Louisiana,66.4,19.1,3
18,19,Maine,41.0,5.0,48
19,20,Maryland,54.2,12.3,20
20,21,Massachusetts,47.9,8.8,35
21,22,Michigan,44.4,6.9,40
22,23,Minnesota,41.2,5.1,47
23,24,Mississippi,63.4,17.4,6
24,25,Missouri,54.5,12.5,18
25,26,Montana,42.7,5.9,45
26,27,Nebraska,48.8,9.3,30
27,28,Nevada,49.9,9.9,28
28,29,New Hampshire,43.8,6.6,42
29,30,New Jersey,52.7,11.5,22
30,31,New Mexico,53.4,11.9,21
31,32,New York,45.4,7.4,37
32,33,North Carolina,59.0,15.0,13
33,34,North Dakota,40.4,4.7,49
34,35,Ohio,50.7,10.4,26
35,36,Oklahoma,59.6,15.3,11
36,37,Oregon,48.4,9.1,33
37,38,Pennsylvania,48.8,9.3,30
38,39,Rhode Island,50.1,10.1,27
39,40,South Carolina,62.4,16.9,8
40,41,South Dakota,45.2,7.3,38
41,42,Tennessee,57.6,14.2,14
42,43,Texas,64.8,18.2,4
43,44,Utah,48.6,9.2,32
44,45,Vermont,42.9,6.1,44
45,46,Virginia,55.1,12.8,17
46,47,Washington,48.3,9.1,34
47,48,West Virginia,51.8,11.0,23
48,49,Wisconsin,43.1,6.2,43
49,50,Wyoming,42.0,5.6,46
